Bullet,,,,,
3,-1.239758065,0,1.875,14.22,345.78
4,0.527016129,-0.447580645,0.052419355,345.78,270
,,,,,
Line,Point 1,Point 2,,,
1,"(0,0.5)","(0.527016129, 0.5)",,,
2,"(0,-0.5)","(0.527016129, -0.5)",,,
,,,,,
,,,,,
Huia Flume,,,,,
,,,,,
Line,Start x,Start y,End x,End y,
1,0.5,0.410636495,0.5,-0.410636495,
2,0.5,-0.410636495,-0.5,-0.410636495,
3,-0.5,-0.410636495,-0.5,0.410636495,
4,-0.5,0.410636495,0.5,0.410636495,
,,,,,
,,,,,
Redoubt Road Tunnel - According to Plans,,,,,
,,,,,
Circle,x,y,radius,StartAngle,End Angle
1,0,0,1,0,180
2,-1,0,2,335.7,0
3,0,1,2,245.7,294.3
4,1,0,2,180,204.3
,,,,,
,,,,,
Egg C,Metro,,,,
,,,,,
Circle,x,y,Radius,Start Angle,End Angle
1,0,0,1,350,190
2,1.975561538,0.348344821,3.006037744,190,220.9
3,0,-1.266538462,0.461278462,230,310
4,-1.975561538,0.348344821,3.006037744,319.1,350
